annual_inc,bc_util,chargeoff_within_12_mths,dti,inq_last_6mths,mths_since_last_delinq,num_accts_ever_120_pd,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bc_limit,avg_cur_bal,pct_tl_nvr_dlq,revol_bal,total_acc,int_rate,verification_status,home_ownership,term,TARGET
51408,99.8,0,24.32,1,35,5,0,0,285380,6500,43933,71.4,6990,21,23.99,Not Verified,OWN, 60 months,0
185000,86.8,0,19.39,0,34,0,0,0,131765,36000,13014,84,31261,25,15.61,Verified,MORTGAGE, 36 months,0
70000,89.8,0,15.55,0,12,0,0,0,99443,11100,11766,91.7,12715,12,15.61,Verified,RENT, 60 months,1
88000,98.5,0,26.66,2,5,0,0,0,630902,4500,44263,84.6,7514,27,16.99,Verified,MORTGAGE, 36 months,0
57000,34.5,0,8.42,2,1,2,1,0,12159,4100,994,94.4,1843,19,17.57,Source Verified,RENT, 36 months,1
42000,19.7,0,17.74,2,61,0,0,0,135297,17100,9716,100,3373,46,12.29,Not Verified,RENT, 36 months,0
67000,59.6,0,15.69,0,9,0,1,0,53144,4000,7260,89.5,4092,19,10.99,Source Verified,RENT, 36 months,1
380000,32.4,0,1.65,1,46,0,0,1,125606,26000,4326,100,8768,30,6.39,Source Verified,MORTGAGE, 36 months,0
45000,81.6,0,23.65,0,3,0,0,0,43683,8300,4128,100,8285,10,13.99,Not Verified,MORTGAGE, 36 months,0
60000,77.1,0,24.09,0,7,0,0,0,196327,22100,10997,97.3,17032,38,7.89,Not Verified,MORTGAGE, 36 months,1
47000,96.4,0,14.02,1,52,0,1,0,16725,4000,896,98.1,5583,58,12.29,Not Verified,RENT, 36 months,0
48000,66.6,0,18.49,0,21,0,0,0,171435,14400,19083,100,9589,32,12.29,Not Verified,MORTGAGE, 36 months,1
105000,35.4,0,5.05,0,76,0,0,0,291200,59200,27181,100,20963,9,9.99,Verified,MORTGAGE, 36 months,0
69000,95.3,0,12.05,1,10,0,0,0,181943,14200,19165,93.3,17791,15,14.65,Verified,MORTGAGE, 60 months,0
80000,88.3,0,24.94,0,57,2,0,0,75451,46900,8483,88.9,43156,19,9.99,Verified,RENT, 36 months,0
70000,81.3,0,30.4,0,49,0,0,0,332120,22400,11516,96.7,31697,30,11.53,Source Verified,MORTGAGE, 60 months,1
77000,51.9,0,7.42,0,63,0,0,0,23588,14300,1754,90,7428,11,9.99,Source Verified,MORTGAGE, 36 months,0
350000,55.7,0,12.12,1,29,0,1,1,1043868,36500,79973,100,24713,28,6.68,Not Verified,OWN, 36 months,0
41000,58.8,0,15.02,1,35,1,0,0,29870,11600,1957,100,9779,32,18.84,Verified,MORTGAGE, 36 months,0
50000,93.1,0,11.95,1,24,0,0,0,9775,4300,4665,92.3,4003,13,11.53,Verified,MORTGAGE, 36 months,1
59000,89,0,32.99,0,57,0,0,0,149107,10400,6279,100,10902,40,17.86,Verified,RENT, 60 months,0
75000,18,0,21.9,0,59,0,0,0,88331,23300,3097,95.9,4360,49,6.92,Verified,RENT, 36 months,0
150000,75,0,14.1,0,41,1,0,0,91542,15700,5824,93.3,16159,32,14.65,Source Verified,RENT, 36 months,0
90000,88.5,0,20.85,2,49,0,0,0,241929,25800,10328,98.8,23815,85,12.29,Not Verified,MORTGAGE, 36 months,0
74000,65.8,0,19.45,0,8,0,0,0,181650,29000,8073,92.3,21015,40,8.18,Source Verified,RENT, 36 months,1
236000,44.7,0,14.13,1,32,0,0,0,887181,40000,83722,100,42569,22,13.33,Source Verified,MORTGAGE, 36 months,0
53000,56.2,0,20.97,1,5,6,1,0,69549,12500,1705,86.4,7957,44,9.17,Source Verified,MORTGAGE, 36 months,0
50000,85.1,0,26.45,1,29,0,0,0,49278,6200,3025,100,8766,14,12.69,Source Verified,RENT, 36 months,0
77700,22.4,0,33.22,1,75,0,0,0,283480,32200,13300,100,8811,36,6.39,Source Verified,MORTGAGE, 36 months,0
36000,23.2,0,19.53,0,21,0,0,0,96446,67000,1859,100,17730,15,5.93,Source Verified,MORTGAGE, 36 months,0
61000,49.1,0,15.78,2,34,0,0,0,75501,11000,6485,90.9,6574,22,9.17,Source Verified,RENT, 36 months,0
112000,25.4,0,11.04,0,26,0,0,0,109366,23000,13368,94.7,5847,19,7.89,Not Verified,OWN, 60 months,0
52000,33.7,0,18.22,0,26,0,0,0,43029,3000,2144,86.8,3039,38,10.99,Not Verified,MORTGAGE, 36 months,1
34000,32.8,0,35.86,1,15,0,0,0,145960,48300,7550,100,18525,33,10.99,Source Verified,OWN, 36 months,0
32436,15.9,0,24.9,2,77,0,0,0,47732,10700,1487,100,3254,18,14.65,Verified,RENT, 36 months,0
90000,18,0,10.85,1,1,4,0,0,671236,4800,49028,64,2344,25,13.33,Verified,MORTGAGE, 60 months,0
41000,94.1,0,29.65,0,65,0,0,0,190413,8800,19614,100,12265,26,19.52,Verified,MORTGAGE, 60 months,1
44700,84,0,16.19,1,74,1,0,0,31673,11200,4659,95.5,9409,22,7.89,Source Verified,RENT, 36 months,0
72000,81.6,0,34.77,0,12,0,1,0,200462,16200,24780,100,13216,23,11.53,Source Verified,RENT, 60 months,0
57224,82.6,0,6.94,0,71,0,0,0,161812,3000,13657,100,4297,16,6.92,Not Verified,MORTGAGE, 36 months,0
35000,70.8,0,30.83,2,15,0,0,0,33948,2500,1616,100,4249,31,16.99,Source Verified,RENT, 36 months,1
73000,26.9,0,28.57,0,13,3,0,1,314294,27000,21285,85.7,7263,37,16.55,Verified,MORTGAGE, 36 months,0
56000,23.3,0,8.98,2,22,1,0,0,320500,8500,30034,86.2,2558,29,15.61,Verified,MORTGAGE, 36 months,0
59400,66.1,0,27.15,0,51,0,0,0,88229,34600,2789,100,29627,43,17.86,Source Verified,RENT, 60 months,0
140000,5.6,0,4.12,0,24,0,0,0,265722,90000,18166,100,5178,10,6.39,Not Verified,MORTGAGE, 36 months,0
90000,93.7,0,35.32,1,32,0,0,0,182589,12000,17074,94.1,11913,45,9.99,Not Verified,RENT, 36 months,1
134000,96.5,0,9.27,0,44,0,0,0,43079,19100,3634,100,28673,36,9.17,Verified,MORTGAGE, 36 months,0
43000,52.6,0,23.07,0,39,4,0,3,46812,7400,2254,98.1,7452,57,17.57,Verified,OWN, 36 months,0
40000,75,0,18.86,1,20,1,0,0,97893,15500,6525,97.1,14385,37,13.33,Source Verified,MORTGAGE, 36 months,0
15000,85.8,0,12.16,0,67,0,0,0,10990,3200,780,100,3378,12,25.99,Not Verified,RENT, 36 months,0
30500,2,0,38.17,0,73,0,1,0,59597,5300,4907,96.3,3005,32,25.57,Not Verified,OWN, 60 months,1
82000,60,0,8.54,0,23,7,0,0,41381,800,2042,74.1,2151,27,6.39,Not Verified,RENT, 36 months,0
55000,56.1,0,21.7,0,20,1,0,0,148672,20200,8876,97.1,11411,34,7.89,Source Verified,RENT, 36 months,0
76500,90.4,0,30.7,0,39,0,0,1,345377,6000,20355,100,7624,19,12.69,Not Verified,MORTGAGE, 36 months,0
25000,2.6,0,28.47,0,34,0,1,0,55921,8300,4011,100,214,32,11.53,Source Verified,MORTGAGE, 36 months,0
54000,80.2,0,26.02,0,57,0,0,1,281822,11400,21229,100,19938,20,13.99,Source Verified,MORTGAGE, 60 months,0
33353,26.9,0,5.54,0,4,0,0,0,21500,21500,1927,83.3,5781,7,6.92,Not Verified,RENT, 36 months,0
63000,14.6,0,10.53,4,82,0,0,0,54665,36000,1238,100,5318,20,14.65,Verified,RENT, 36 months,0
75000,41.7,0,13.54,2,74,2,1,0,55928,16000,2433,93.5,9584,36,12.29,Source Verified,OWN, 60 months,1
45000,72.2,0,4.64,1,58,0,0,0,193975,12400,23528,100,8957,27,12.29,Source Verified,MORTGAGE, 60 months,0
96000,54.6,0,17.54,3,5,0,0,0,92391,26300,2700,100,24141,34,18.25,Source Verified,OWN, 60 months,0
52000,92.1,0,27.16,2,70,0,1,0,48876,1500,3170,92.9,2242,14,16.99,Verified,MORTGAGE, 36 months,1
41000,86.6,0,13.2,1,46,0,0,0,26170,2000,3262,100,3080,14,12.29,Not Verified,RENT, 36 months,0
84000,77.1,0,23.76,0,11,1,2,0,187334,10300,5193,84.6,9709,34,18.25,Source Verified,RENT, 60 months,0
250000,86.2,1,9.9,0,41,3,0,0,524593,17100,55006,93.1,25603,30,22.99,Verified,MORTGAGE, 60 months,1
60000,43.5,0,21.14,0,46,0,0,0,301525,35100,21897,100,16300,23,10.99,Verified,MORTGAGE, 36 months,0
68000,80.9,0,13.37,1,44,0,0,0,346809,28400,37450,100,22981,37,15.61,Verified,MORTGAGE, 36 months,0
40000,78,0,5.01,0,14,0,0,1,37200,4500,3234,83.3,4858,27,16.55,Source Verified,RENT, 36 months,0
101000,61.8,0,11.16,4,29,2,0,1,307612,19000,24338,89.7,12226,35,25.8,Verified,OWN, 60 months,1
115000,91.4,0,15.15,0,24,0,0,0,183739,26800,9895,100,24493,55,14.65,Source Verified,RENT, 36 months,0
60000,78.7,0,21.54,1,26,2,0,0,178280,45600,5830,96.4,36796,58,11.53,Source Verified,RENT, 36 months,0
135000,16.6,0,8.28,2,17,0,0,0,665820,61600,44013,97,10238,33,25.8,Verified,OWN, 60 months,0
144000,0.1,0,15.15,0,5,1,0,1,503210,6300,36384,96,5213,25,18.84,Verified,MORTGAGE, 60 months,0
62000,78.2,0,11.9,0,34,0,1,0,24300,5100,1441,92.9,6769,33,12.29,Source Verified,MORTGAGE, 36 months,0
44000,49,0,11.54,2,37,0,0,0,44300,35300,1749,96.4,17490,28,14.65,Not Verified,RENT, 36 months,1
90000,89,0,9.92,1,78,1,1,0,180618,10000,17444,69,10194,35,19.52,Verified,MORTGAGE, 60 months,0
46000,85.6,0,12.4,2,38,0,0,0,46516,4500,3694,100,3853,6,18.84,Source Verified,RENT, 60 months,1
45000,67.6,0,22.09,2,10,0,0,0,40719,18100,1549,93.7,12745,32,11.53,Source Verified,RENT, 36 months,0
80000,98.9,0,16.07,1,54,0,0,0,78432,16000,7105,100,18382,17,10.99,Source Verified,RENT, 36 months,0
125450,28.6,0,21.62,2,16,1,0,0,555370,38100,33982,94.1,153632,34,8.18,Source Verified,MORTGAGE, 36 months,0
46000,69.3,0,7.33,0,65,1,1,0,17000,16300,2259,90,11296,10,13.33,Source Verified,OWN, 60 months,0
50000,52.9,0,23.4,0,58,0,0,0,95282,25400,7553,100,14339,20,9.17,Not Verified,RENT, 36 months,0
2.00E+05,70.4,0,33.75,1,7,0,0,0,629054,34100,55643,100,30281,28,23.99,Verified,MORTGAGE, 60 months,0
45500,45.9,0,13.08,0,68,0,0,0,55600,14500,5633,100,39500,24,7.89,Source Verified,OWN, 36 months,0
35000,76.9,0,20.51,0,55,1,1,0,30237,7900,1553,90.6,6536,41,12.69,Verified,RENT, 36 months,0
60000,25.1,0,4.42,1,64,0,0,0,16205,11500,368,92.9,3835,14,20.49,Source Verified,RENT, 60 months,0
57600,72.4,0,11.79,0,33,0,0,0,203576,30500,23068,100,25977,16,10.99,Source Verified,MORTGAGE, 60 months,0
28500,101.2,0,11.58,0,53,0,0,0,10000,2000,2007,100,7589,8,25.57,Source Verified,RENT, 60 months,1
71000,65.1,0,18.46,1,42,1,0,0,27215,13100,2296,85.7,10867,21,17.86,Source Verified,OWN, 60 months,0
111000,24.6,0,9.66,1,38,4,0,0,301155,28400,30829,78.6,7042,44,7.89,Not Verified,MORTGAGE, 60 months,0
42000,71.2,0,28.43,0,67,1,0,0,138261,9300,14385,94.4,6784,18,8.18,Not Verified,MORTGAGE, 36 months,0
55000,67.1,0,9.58,1,74,0,0,0,226431,7000,34991,100,4699,10,9.99,Not Verified,MORTGAGE, 60 months,0
140000,64.5,0,15.36,0,72,1,0,0,157088,27000,6015,94.1,18683,34,11.53,Source Verified,RENT, 36 months,0
65800,94.7,0,2.95,0,41,0,0,0,6000,4000,2732,90.9,5464,11,7.89,Not Verified,MORTGAGE, 36 months,0
35000,21.7,0,19.09,0,56,0,0,0,36109,11000,1826,93.7,3316,16,8.18,Source Verified,OWN, 36 months,0
40000,97.6,0,31.47,0,46,0,0,0,141870,5500,12529,100,24087,20,17.57,Not Verified,MORTGAGE, 36 months,0
70000,35.6,0,16.7,0,29,0,0,0,303255,65000,13078,100,23108,28,6.92,Source Verified,RENT, 36 months,1
68000,93.1,0,7.25,2,8,1,0,0,196000,5900,12217,82.6,10034,23,17.57,Verified,MORTGAGE, 60 months,0
76800,97.7,0,33.8,2,31,0,0,0,111104,8400,11931,96.6,9197,29,12.69,Source Verified,RENT, 60 months,1
105000,56.4,0,11.23,0,9,0,0,0,405400,45500,21650,100,41356,25,10.99,Source Verified,MORTGAGE, 60 months,0
40000,97,0,6.54,0,72,0,0,0,8400,5100,1877,100,7507,5,20.49,Verified,OWN, 36 months,1
128000,35.4,0,29.53,0,51,0,0,0,509508,86500,23452,100,59697,45,5.93,Not Verified,OWN, 36 months,0
85000,48.1,0,27.46,1,59,0,0,0,409643,75400,34628,96,33761,25,11.53,Verified,MORTGAGE, 36 months,0
48000,52.4,0,20.13,0,27,2,0,0,43978,0,3464,89.5,8331,19,10.99,Source Verified,RENT, 36 months,0
24000,30,0,15.4,0,53,1,0,0,16601,7500,977,80,3503,20,9.17,Source Verified,MORTGAGE, 36 months,0
49878,83.8,0,18.98,1,31,0,0,0,389271,8900,32767,100,8412,54,12.69,Not Verified,RENT, 60 months,1
65000,2.1,0,13.18,0,27,0,0,0,122327,79100,2869,100,1694,32,6.39,Source Verified,RENT, 36 months,0
121300,38.9,0,6.99,0,19,0,0,0,420721,33300,24728,100,17475,33,7.89,Source Verified,MORTGAGE, 60 months,0
147000,92.9,0,16.61,0,5,0,0,0,104832,18900,13290,100,17552,25,7.89,Source Verified,RENT, 36 months,0
68000,39.4,0,10.17,2,42,5,0,0,477535,36200,21552,84.1,15517,44,6.92,Not Verified,MORTGAGE, 36 months,0
85000,72,1,12.54,2,6,1,1,0,436799,30500,30901,95.1,22112,41,10.99,Not Verified,OWN, 36 months,0
145000,82,0,22.32,2,69,0,0,0,472829,41600,28791,100,37155,35,8.18,Source Verified,MORTGAGE, 36 months,0
98000,85.3,0,15.1,0,6,1,0,0,372846,3500,22799,82.9,6598,41,9.99,Source Verified,MORTGAGE, 36 months,0
69000,37.5,0,3.55,1,16,0,0,0,13800,13800,740,100,5181,18,17.86,Verified,MORTGAGE, 60 months,0
83500,80.8,0,10.88,1,40,1,0,0,243787,14900,26390,97,18396,33,7.89,Not Verified,OWN, 36 months,0
42000,53.6,0,22.03,0,75,0,2,0,35169,4500,4966,100,2411,10,13.99,Source Verified,RENT, 36 months,0
75000,54.1,0,20.9,1,80,0,0,0,185491,31600,10941,100,27914,28,14.65,Source Verified,MORTGAGE, 60 months,1
25000,10.1,0,7.44,1,27,0,0,0,44400,39400,200,100,3994,25,15.61,Verified,RENT, 36 months,0
56000,78.9,0,23.75,2,46,1,0,0,219712,13600,24524,96.4,13100,29,18.25,Source Verified,MORTGAGE, 60 months,0
24799.2,96.9,0,26.82,0,27,0,0,0,89333,7500,14069,80,8730,20,18.84,Verified,MORTGAGE, 60 months,1
47000,54.3,0,22.22,2,79,0,0,0,59539,6200,5901,100,4796,34,13.99,Source Verified,MORTGAGE, 36 months,1
71690,56.4,0,24.94,0,18,0,0,0,248152,51100,12764,100,28884,22,7.89,Source Verified,MORTGAGE, 36 months,0
36000,39.8,0,15.79,0,4,0,0,0,346218,5000,19529,97.4,14991,38,14.65,Not Verified,RENT, 36 months,1
55000,74.9,0,24.67,0,14,0,0,0,82775,6000,5347,100,12700,27,7.89,Source Verified,MORTGAGE, 36 months,0
46900,31.6,0,26.74,1,16,0,0,0,68161,4500,7320,100,10027,33,12.69,Verified,RENT, 36 months,0
150000,54.3,0,8.46,0,80,0,0,0,132940,1300,15814,95.8,5215,24,12.29,Source Verified,MORTGAGE, 36 months,0
40000,58.9,0,7.65,0,45,1,0,0,14300,8800,940,93.3,6577,15,10.99,Source Verified,RENT, 36 months,0
43258,38.9,0,38.71,0,72,0,1,0,54836,8500,4304,100,4599,15,17.86,Verified,RENT, 36 months,0
40000,12.1,0,37.62,1,60,0,0,0,219469,29400,7944,100,4484,26,10.99,Not Verified,RENT, 36 months,0
21000,48.1,0,8.63,0,19,0,0,1,5949,2800,691,100,1895,10,13.33,Verified,RENT, 36 months,0
71000,57.7,0,15.67,0,11,0,0,1,45500,9800,3182,100,24872,21,10.99,Not Verified,RENT, 36 months,0
49017.6,8.1,0,4.12,0,7,0,0,0,68800,68800,800,83.3,5602,18,6.92,Verified,RENT, 36 months,0
47000,37,0,23.14,0,57,0,0,0,112294,9000,7252,100,5129,50,6.92,Not Verified,MORTGAGE, 36 months,0
88000,78.9,0,27.97,2,13,0,0,0,126564,28800,4529,100,29023,42,12.29,Source Verified,RENT, 36 months,0
62400,86.8,0,21.41,1,29,1,0,0,159279,15700,9077,94.4,15200,18,18.25,Source Verified,MORTGAGE, 60 months,1
125000,104.7,0,12.46,0,48,0,0,0,265814,18500,21194,95,22917,20,12.29,Verified,MORTGAGE, 36 months,0
148000,17.1,0,11.67,4,33,0,0,0,65325,3600,6359,100,1634,12,22.99,Source Verified,RENT, 36 months,1
56000,63.6,0,27.51,0,37,0,0,0,164310,14700,10360,91.7,18430,37,15.61,Source Verified,MORTGAGE, 60 months,0
80000,0,0,4.07,0,23,0,0,0,30500,7300,2256,100,611,11,25.8,Verified,RENT, 60 months,0
75000,9.7,0,12.59,0,2,0,1,0,52891,14700,1995,100,2812,24,6.92,Not Verified,RENT, 36 months,0
48000,86.8,0,28.75,0,64,1,0,0,169408,10500,13374,84.4,15402,32,12.29,Source Verified,MORTGAGE, 36 months,1
85000,41.4,0,21.69,1,37,0,0,0,98180,2000,6014,100,1632,29,19.52,Source Verified,RENT, 36 months,1
45000,46.5,0,33.55,1,54,0,0,0,75831,12600,7006,100,6300,20,11.53,Source Verified,MORTGAGE, 36 months,0
44000,78.9,0,15.49,0,38,2,0,0,28173,5400,2760,84.6,6648,13,17.57,Source Verified,RENT, 60 months,1
52500,40.6,0,11.67,0,66,3,0,0,43309,18400,2169,87,7467,23,11.53,Not Verified,RENT, 36 months,0
35000,63.6,0,31.24,0,26,0,0,0,55065,7800,2873,100,15656,16,21.67,Source Verified,RENT, 60 months,0
2.00E+05,30.6,0,15.76,2,41,0,1,0,109048,15300,3882,100,17219,37,21.67,Verified,MORTGAGE, 60 months,0
56000,28.9,0,20.32,1,19,4,0,0,46403,11100,2184,59.3,3484,27,9.17,Source Verified,RENT, 36 months,0
89000,42,0,5.97,2,58,0,0,0,183100,31100,9194,95.5,21184,22,9.99,Verified,MORTGAGE, 36 months,0
35000,41.4,0,17.42,1,12,1,0,0,200755,5600,16726,86.4,3991,23,10.99,Not Verified,MORTGAGE, 36 months,0
84000,55.1,0,28.83,0,50,0,0,0,422026,118000,26962,100,91225,21,9.99,Source Verified,MORTGAGE, 36 months,0
53000,48.5,0,23.82,1,25,0,0,0,215359,25300,14027,100,14270,30,10.99,Source Verified,MORTGAGE, 36 months,0
125000,84.8,0,27.82,1,49,0,0,0,412682,93800,18531,100,85697,43,17.57,Source Verified,MORTGAGE, 60 months,1
41717,65.3,0,14.97,0,1,0,0,0,105361,45000,7131,100,30493,36,8.18,Verified,OWN, 36 months,0
65456.23,9.7,0,28.99,2,22,0,0,0,106274,14600,3705,97,21524,33,12.29,Source Verified,RENT, 36 months,0
30000,84.9,0,23.04,0,21,0,1,0,25132,3700,1001,100,3443,49,8.18,Not Verified,OWN, 36 months,0
45000,88,0,6.37,0,59,0,0,0,9100,6200,1875,100,7498,4,19.52,Verified,RENT, 36 months,0
55000,94.6,0,39.91,2,29,0,0,0,81482,29900,5701,96.3,36477,27,18.84,Source Verified,OWN, 36 months,0
40000,83.8,0,14.81,2,23,2,0,0,200730,13700,14150,90.5,13655,22,11.53,Source Verified,MORTGAGE, 60 months,1
36000,34.8,0,20.77,0,32,5,0,0,59327,3700,5919,93.3,2042,34,12.69,Not Verified,MORTGAGE, 36 months,0
20100,59.5,0,17.13,1,49,0,0,0,15760,12300,1853,100,7323,31,10.99,Source Verified,RENT, 36 months,0
38500,90.3,0,18.89,0,3,0,0,0,53693,20100,4201,100,22681,13,16.99,Verified,RENT, 60 months,0
49000,31.3,0,23.93,0,43,1,1,0,88294,21800,3150,96,14401,25,11.53,Not Verified,MORTGAGE, 36 months,0
47000,1.3,0,10.16,0,73,0,0,0,22700,0,4048,94.7,7344,20,15.61,Source Verified,MORTGAGE, 60 months,0
40000,10.5,0,8.85,0,32,0,0,0,27500,13900,139,100,2770,22,11.53,Source Verified,RENT, 36 months,0
80000,63.5,0,5.89,0,13,0,0,0,20700,20700,6572,100,13144,6,19.52,Verified,RENT, 60 months,0
102000,66,0,16.05,2,35,0,0,0,233767,38000,9096,97.3,25099,37,10.99,Not Verified,MORTGAGE, 36 months,0
1.00E+05,76.1,0,20.18,0,39,0,0,0,189046,12300,12852,94.7,16430,19,14.65,Verified,MORTGAGE, 60 months,1
102910,34.4,0,19.55,2,32,0,0,0,218317,23100,7045,83.1,16499,61,9.17,Verified,MORTGAGE, 36 months,0
102000,100,0,20.38,0,40,0,0,0,378782,16500,40559,95.5,16494,22,20.49,Verified,MORTGAGE, 60 months,0
60000,46.4,0,6.92,0,6,0,0,0,181100,14300,10585,85.7,29146,30,7.89,Not Verified,MORTGAGE, 36 months,0
139000,49.5,0,17.35,2,41,0,0,0,132995,45000,3231,100,27683,36,12.69,Not Verified,MORTGAGE, 60 months,0
167000,83.4,0,11.1,1,47,1,0,0,417563,700,49808,97,8789,34,21.67,Verified,MORTGAGE, 60 months,0
85000,73,0,23.2,0,65,1,0,0,90095,11100,8502,93.3,12458,16,17.57,Verified,RENT, 60 months,1
80000,12.7,0,8.16,0,18,0,0,0,284050,20900,63586,95.5,2650,22,6.39,Source Verified,MORTGAGE, 36 months,0
93000,116.4,0,21.32,0,21,0,0,0,222154,18400,13370,94.4,22840,18,11.53,Verified,MORTGAGE, 36 months,0
35000,29.2,0,17.28,0,72,0,0,0,147739,2300,19975,95.8,6941,24,8.18,Source Verified,MORTGAGE, 36 months,0
50000,12.3,0,30.29,0,28,0,0,0,189584,11400,15815,100,1892,35,9.99,Not Verified,MORTGAGE, 60 months,0
130000,78.6,0,23.45,1,7,0,0,0,441716,29100,28417,100,32264,31,7.89,Source Verified,MORTGAGE, 36 months,0
87000,57.7,0,17.51,0,14,2,0,1,357572,5200,34001,81,5993,21,15.61,Source Verified,MORTGAGE, 60 months,0
69086,80.4,0,21.64,0,42,0,0,0,227291,30700,22394,100,25171,19,9.99,Source Verified,MORTGAGE, 36 months,0
46000,87.9,0,28.57,0,74,0,0,0,101610,8000,9457,97.4,9434,41,13.99,Not Verified,RENT, 36 months,0
240000,67.5,0,10.71,0,64,0,0,0,259466,57200,16163,96.7,39151,39,15.61,Verified,RENT, 36 months,0
430000,98.4,0,23,0,15,0,0,0,2673358,178600,146079,100,586266,35,17.86,Source Verified,MORTGAGE, 36 months,0
450000,3.1,0,2.83,0,80,0,0,0,978971,39000,91052,100,1215,19,9.99,Source Verified,MORTGAGE, 60 months,0
45501,0,0,13.85,0,26,1,1,0,32591,500,4522,95.2,350,24,12.29,Source Verified,RENT, 36 months,0
32000,101.8,0,36.98,0,11,0,0,0,40964,4500,3869,100,16925,16,19.52,Verified,RENT, 60 months,1
80000,76.9,0,17.79,1,28,0,0,0,277297,11400,25100,100,67910,18,12.29,Source Verified,MORTGAGE, 36 months,0
40000,98,0,25.62,0,65,0,0,0,47847,7000,4740,100,9268,18,11.53,Source Verified,RENT, 36 months,1
47000,30.4,0,6.97,2,36,6,0,0,42440,13200,2614,72.4,4685,29,22.99,Verified,RENT, 36 months,0
72000,88.4,0,20.85,0,30,0,0,0,61951,0,10546,100,8231,20,21.67,Source Verified,RENT, 60 months,0
49000,72.2,0,16.56,1,37,1,1,0,81079,5700,7634,94.7,4532,19,13.33,Source Verified,MORTGAGE, 36 months,0
50000,27,0,10.35,0,8,0,0,0,115051,43200,5877,92.6,12947,27,6.92,Not Verified,MORTGAGE, 36 months,0
36500,68.6,0,28.15,0,33,0,0,0,108028,11000,3929,100,12866,48,17.57,Not Verified,RENT, 60 months,0
75000,59.8,0,17.31,1,21,8,0,0,69334,8500,4146,75.8,6696,33,16.55,Verified,RENT, 36 months,0
55000,46.2,0,14.71,1,34,0,0,0,44585,2700,2051,100,3243,17,24.5,Source Verified,RENT, 60 months,0
150000,23.1,0,7.39,1,42,0,0,0,73147,36700,1404,100,23517,24,6.92,Verified,OWN, 36 months,0
120000,9.3,0,17.13,2,36,0,0,0,297438,80900,12048,96.7,7492,33,6.92,Source Verified,RENT, 36 months,0
70000,63.8,0,22.96,1,11,0,0,0,339634,11500,26241,100,14398,13,12.29,Not Verified,MORTGAGE, 36 months,0
43000,90.9,0,33.32,1,26,0,0,0,47575,12500,5569,100,13643,16,22.99,Source Verified,OWN, 60 months,1
35000,65.9,0,35.84,0,26,0,0,0,70783,21400,4673,100,14102,17,8.18,Source Verified,RENT, 36 months,0
38000,86.9,0,26.25,0,15,0,0,0,36894,12900,1843,100,13761,19,13.33,Source Verified,RENT, 36 months,1
65000,97.3,0,10.67,0,31,0,0,0,148050,16800,11330,100,16348,18,9.99,Not Verified,RENT, 36 months,0
107600,42.1,0,18.96,1,33,0,0,0,347135,31000,21162,100,12702,30,6.39,Source Verified,MORTGAGE, 36 months,0
60000,90.3,0,10.42,0,67,0,0,0,192307,20100,14880,89.5,18227,19,16.55,Source Verified,MORTGAGE, 36 months,0
49000,93,0,22.04,1,30,0,0,0,48156,8500,5905,100,8308,6,17.57,Source Verified,RENT, 36 months,1
70000,96.7,0,5.71,2,66,1,0,0,131653,2000,27358,90.9,1935,11,9.17,Not Verified,MORTGAGE, 36 months,0
50000,90.1,0,18.89,0,78,0,1,0,28236,9000,1155,100,8563,17,22.99,Source Verified,OWN, 60 months,1
120000,13.3,0,10.09,0,38,1,0,0,52800,28300,3595,89.5,4079,20,10.99,Source Verified,RENT, 36 months,0
56000,25.6,0,13.37,1,35,0,1,0,193158,21700,8961,100,5969,55,13.33,Verified,OWN, 60 months,0
98000,48.7,0,15.18,2,75,0,0,0,337214,43900,25992,90.9,39472,22,6.92,Source Verified,MORTGAGE, 36 months,1
24000,49.7,0,20.2,0,26,0,0,0,95729,11400,9215,100,5671,29,6.68,Source Verified,MORTGAGE, 36 months,0
43000,57.4,0,31.71,0,32,0,0,0,205813,21400,9607,100,19394,51,12.29,Verified,MORTGAGE, 36 months,0
24000,94.1,0,29.86,1,2,0,0,0,37179,5000,5610,100,7263,6,17.57,Source Verified,RENT, 36 months,1
62000,0,0,8.09,0,14,0,0,0,67701,300,4796,76.9,1262,29,11.53,Source Verified,RENT, 36 months,0
83000,8.5,0,15.4,0,1,0,0,0,425454,60900,34970,87,7007,23,12.29,Source Verified,MORTGAGE, 60 months,0
50000,49.8,0,9.79,2,5,2,0,0,401900,5400,22208,75.6,5275,43,13.99,Verified,RENT, 36 months,0
65000,53.3,0,7.24,0,4,1,0,0,260800,19800,26614,90,14723,20,12.29,Verified,OWN, 36 months,0
75000,21.7,0,24.58,3,37,1,1,0,89992,22500,1655,97.7,9306,43,23.99,Verified,RENT, 60 months,0
82500,10.5,0,27.97,1,49,0,0,0,224577,14800,13659,97,1558,33,17.86,Verified,MORTGAGE, 60 months,0
34000,16.8,0,19.56,1,48,0,0,0,44134,13200,1790,100,5649,14,13.99,Source Verified,RENT, 36 months,0
70000,47.8,0,9.31,2,0,0,0,0,33346,5300,954,78.4,3749,37,16.55,Source Verified,OWN, 36 months,0
45000,91.9,0,14.16,1,62,1,0,0,142382,4000,12880,93.3,7516,15,16.99,Source Verified,MORTGAGE, 60 months,0
